"Folder","*.las","*.laz","*.zlas"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\fgdcMetadata","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB05","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB105","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB106","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB107","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB108","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB109","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB11","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB110","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB111","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB112","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB113","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB114","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB115","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB12","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB132","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB133","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB134","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB135","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB136","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB137","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB138","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r10_cnf\RSImagery\Geo\DEM\LIDAR\2008_Kenai_LiDAR\Area_A\Bare-Earth_ArcGrids\LWB139","0","0","0"
