"Folder","*.las","*.laz"
"q:4FRI_Phase1","0","0"
"q:4FRI_Phase1\Points","0","0"
"q:4FRI_Phase1\Points\All_Returns","1","0"
"q:4FRI_Phase1\Points\Ground_Returns","1","0"
"q:4FRI_Phase1\Rasters","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110a71","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110a72","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110b71","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110b72","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110b73","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110b74","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110b81","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110b82","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110b84","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110c61","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110c62","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110c71","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110c72","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110c73","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110c74","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110c81","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110c82","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110c83","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110c84","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110d51","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110d53","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110d61","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110d62","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110d63","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110d64","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110d71","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110d72","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110d73","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110d74","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110d81","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110d82","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110d83","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110d84","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110e51","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110e53","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110e61","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110e62","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110e63","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110e64","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110e71","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110e72","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110e73","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110e74","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110e81","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110e82","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110e83","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110e84","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110f63","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110f73","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110f74","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110f81","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110f82","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110f83","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110f84","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34110g83","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111c11","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111c12","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111c13","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111c14","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111c21","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111c22","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111c31","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111c41","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111c42","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d11","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d12","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d13","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d14","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d21","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d22","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d23","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d24","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d31","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d32","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d33","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d34","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d41","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d42","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d43","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d44","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d52","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111d54","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e11","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e12","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e13","0","0"
"q:4FRI_Phase1\Rasters\Bare_Earth\be_34111e14","0","0"
