"Folder","*.laz","*.las","*.lda","ept.json","*.copc","*.copc.laz"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\1_Folders_Template","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\1_Folders_Template\1b_LAS","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\1_Folders_Template\1_LAZ","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\1_Folders_Template\2_DTM","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\1_Folders_Template\3_Vectors","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\1_Folders_Template\4_Report","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\1_Folders_Template\5_Other_Vendor_Products","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\1_Folders_Template\6_Fusion_dtm","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2007_RiverCorridor_LakeRoosevelt","0","1","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\1_LAZ","1","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\2_DTM","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\2_DTM\be48118e1","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\2_DTM\be48118e2","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\2_DTM\be48118e3","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\2_DTM\be48118e4","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\2_DTM\be48118e5","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\2_DTM\be48118e6","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\2_DTM\be48118f1","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\2_DTM\be48118f2","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\2_DTM\be48118f3","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\2_DTM\be48118f4","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\2_DTM\be48118f5","0","0","0","0","0","0"
"T:\FS\Reference\RSImagery\ProcessedData\r06\R06_DRM_Deliverables\PointCloud\COL_2008_Sherman_Pass_feet\2_DTM\be48118f6","0","0","0","0","0","0"
